07:48 PM 05-11-20172017-11-04 13:01:17,624 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: 10N
2017-11-05 21:22:08,544 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: SG-415
2017-11-05 21:36:48,898 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:37:01,898 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:37:12,119 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:38:01,670 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: SG-415
2017-11-05 21:41:30,650 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:41:40,990 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:51:43,349 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:51:49,137 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:52:42,204 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: SG-415
2017-11-05 21:52:51,379 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:54:08,755 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 21:54:17,602 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:54:42,955 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: SG-415
2017-11-05 21:54:48,683 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 21:55:14,213 INFO [com.cg.dao.AirlineDAOImpl] - Flight Schedule of following flight number updated: SG-415
2017-11-05 22:03:21,374 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 22:03:33,422 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 22:04:14,783 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: SG-415
2017-11-05 22:04:18,987 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 22:06:18,906 INFO [com.cg.dao.AirlineDAOImpl] - Following user logged in: Admin
2017-11-05 22:06:26,334 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 22:07:27,703 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: SG-415
2017-11-05 22:07:30,003 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 22:07:46,229 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: SG-415
2017-11-05 22:07:47,575 INFO [com.cg.dao.AirlineDAOImpl] - List of flights retrieved
2017-11-05 22:08:03,388 INFO [com.cg.dao.AirlineDAOImpl] - Flight Information of following flight number updated: SG-415
